Batch	SentiGlass_14Nov009.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 11:08:07AM
nm	A
695.00	-0.043
696.00	-0.044
697.00	-0.045
698.00	-0.048
699.00	-0.049
700.00	-0.051
701.00	-0.053
702.00	-0.055
703.00	-0.056
704.00	-0.055
705.00	-0.057
706.00	-0.058
707.00	-0.059
708.00	-0.061
709.00	-0.063
710.00	-0.065
711.00	-0.064
712.00	-0.063
713.00	-0.064
714.00	-0.065
715.00	-0.065
716.00	-0.065
717.00	-0.067
718.00	-0.065
719.00	-0.066
720.00	-0.069
721.00	-0.065
722.00	-0.068
723.00	-0.070
724.00	-0.072
725.00	-0.069
726.00	-0.072
727.00	-0.072
728.00	-0.077
729.00	-0.075
730.00	-0.076
731.00	-0.078
732.00	-0.079
733.00	-0.080
734.00	-0.081
735.00	-0.082
736.00	-0.083
737.00	-0.085
738.00	-0.081
739.00	-0.082
740.00	-0.081
741.00	-0.085
742.00	-0.083
743.00	-0.083
744.00	-0.081
745.00	-0.082
746.00	-0.079
747.00	-0.079
748.00	-0.080
749.00	-0.079
750.00	-0.080
751.00	-0.078
752.00	-0.078
753.00	-0.078
754.00	-0.080
755.00	-0.078
756.00	-0.078
757.00	-0.080
758.00	-0.076
759.00	-0.078
760.00	-0.080
761.00	-0.079
762.00	-0.082
763.00	-0.084
764.00	-0.085
765.00	-0.086
766.00	-0.085
767.00	-0.086
768.00	-0.086
769.00	-0.089
770.00	-0.088
771.00	-0.090
772.00	-0.091
773.00	-0.089
774.00	-0.090
775.00	-0.091
776.00	-0.091
777.00	-0.091
778.00	-0.088
779.00	-0.089
780.00	-0.087
781.00	-0.088
782.00	-0.087
783.00	-0.086
784.00	-0.086
785.00	-0.083
786.00	-0.084
787.00	-0.085
788.00	-0.085
789.00	-0.083
790.00	-0.081
791.00	-0.081
792.00	-0.080
793.00	-0.081
794.00	-0.083
795.00	-0.076
796.00	-0.082
797.00	-0.082
798.00	-0.082
799.00	-0.083
800.00	-0.084
