Batch	SentiGlass_14Nov010.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 11:11:15AM
nm	A
738.00	-0.089
739.00	-0.088
740.00	-0.088
741.00	-0.090
742.00	-0.090
743.00	-0.091
744.00	-0.091
745.00	-0.093
746.00	-0.093
747.00	-0.095
748.00	-0.098
749.00	-0.097
750.00	-0.100
751.00	-0.100
752.00	-0.103
753.00	-0.104
754.00	-0.104
755.00	-0.105
756.00	-0.107
757.00	-0.108
758.00	-0.107
759.00	-0.108
760.00	-0.108
761.00	-0.107
762.00	-0.110
763.00	-0.109
764.00	-0.108
765.00	-0.107
766.00	-0.106
767.00	-0.105
768.00	-0.103
769.00	-0.102
770.00	-0.101
771.00	-0.101
772.00	-0.099
773.00	-0.099
774.00	-0.096
775.00	-0.098
776.00	-0.098
777.00	-0.096
778.00	-0.095
779.00	-0.095
780.00	-0.096
781.00	-0.097
782.00	-0.098
783.00	-0.098
784.00	-0.100
785.00	-0.099
786.00	-0.101
787.00	-0.102
788.00	-0.104
789.00	-0.106
790.00	-0.107
791.00	-0.107
792.00	-0.108
793.00	-0.111
794.00	-0.113
795.00	-0.110
796.00	-0.113
797.00	-0.114
798.00	-0.112
799.00	-0.115
800.00	-0.117
