Batch	scan004.sre
UV540 113302	None
beetroot Cycle01	08/11/2022 15:54:36PM
nm	A
777.00	0.026
778.00	0.025
779.00	0.024
780.00	0.026
781.00	0.025
782.00	0.025
783.00	0.026
784.00	0.025
785.00	0.025
786.00	0.025
787.00	0.026
788.00	0.025
789.00	0.025
790.00	0.025
791.00	0.024
792.00	0.024
793.00	0.025
794.00	0.024
795.00	0.024
796.00	0.024
797.00	0.025
798.00	0.026
799.00	0.022
800.00	0.026
