Batch	scan003-blueberry.sre
UV540 113302	None
blueberry03 Cycle01	08/11/2022 16:21:48PM
nm	A
787.00	-0.017
788.00	-0.018
789.00	-0.017
790.00	-0.018
791.00	-0.017
792.00	-0.018
793.00	-0.019
794.00	-0.018
795.00	-0.019
796.00	-0.016
797.00	-0.017
798.00	-0.018
799.00	-0.017
800.00	-0.019
