Batch	scan002-blueberry.sre
683.00	0.016
684.00	0.017
685.00	0.015
686.00	0.013
687.00	0.013
688.00	0.012
689.00	0.012
690.00	0.009
691.00	0.008
692.00	0.010
693.00	0.009
694.00	0.007
695.00	0.006
696.00	0.007
697.00	0.005
698.00	0.004
699.00	0.004
700.00	0.003
701.00	0.002
702.00	0.001
703.00	0.002
704.00	0.003
705.00	0.000
706.00	0.000
707.00	0.000
708.00	0.000
709.00	-0.001
710.00	-0.001
711.00	0.000
712.00	-0.003
713.00	-0.003
714.00	-0.001
715.00	-0.003
716.00	-0.004
717.00	-0.004
718.00	-0.005
719.00	-0.003
720.00	-0.005
721.00	-0.005
722.00	-0.005
723.00	-0.006
724.00	-0.006
725.00	-0.006
726.00	-0.007
727.00	-0.006
728.00	-0.008
729.00	-0.008
730.00	-0.007
731.00	-0.008
732.00	-0.008
733.00	-0.009
734.00	-0.010
735.00	-0.010
736.00	-0.010
737.00	-0.011
738.00	-0.010
739.00	-0.012
740.00	-0.012
741.00	-0.012
742.00	-0.012
743.00	-0.012
744.00	-0.012
745.00	-0.012
746.00	-0.013
747.00	-0.013
748.00	-0.013
749.00	-0.013
750.00	-0.016
751.00	-0.014
752.00	-0.014
753.00	-0.014
754.00	-0.014
755.00	-0.014
756.00	-0.015
757.00	-0.015
758.00	-0.015
759.00	-0.016
760.00	-0.016
761.00	-0.016
762.00	-0.016
763.00	-0.014
764.00	-0.016
765.00	-0.017
766.00	-0.016
767.00	-0.018
768.00	-0.017
769.00	-0.016
770.00	-0.018
771.00	-0.017
772.00	-0.017
773.00	-0.018
774.00	-0.017
775.00	-0.017
776.00	-0.018
777.00	-0.018
778.00	-0.019
779.00	-0.018
780.00	-0.018
781.00	-0.019
782.00	-0.020
783.00	-0.019
784.00	-0.019
785.00	-0.019
786.00	-0.020
787.00	-0.020
788.00	-0.020
789.00	-0.020
790.00	-0.020
791.00	-0.019
792.00	-0.020
793.00	-0.020
794.00	-0.019
795.00	-0.019
796.00	-0.021
797.00	-0.020
798.00	-0.021
799.00	-0.020
800.00	-0.019
